CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0019-16,CERRADO,"-75,37675","5,95955556",IDENTIF_ENTREGADO,ANTIOQUIA,LA UNIÓN,5.95955556,-75.37675,"5.95955556,-75.37675"
CIH-0019-17,CERRADO,"-75,418","7,9711",,CÓRDOBA,MONTELÍBANO,7.9711,-75.418,"7.9711,-75.418"
CIH-0020-14,CERRADO,"-74,9355","6,163138889",NO_IDENTIFICADO,ANTIOQUIA,SAN CARLOS,6.163138889,-74.9355,"6.163138889,-74.9355"
CIH-0020-15,CERRADO,"-75,5735","6,277861111",NO_IDENTIFICADO,ANTIOQUIA,MEDELLÍN,6.277861111,-75.5735,"6.277861111,-75.5735"
CIH-0020-16,PEND.RESULT.GENETICA,"-75,5735","6,277861111",NO_IDENTIFICADO,ANTIOQUIA,MEDELLÍN,6.277861111,-75.5735,"6.277861111,-75.5735"
CIH-0020-17,CERRADO,"-75,418","7,9711",,CÓRDOBA,MONTELÍBANO,7.9711,-75.418,"7.9711,-75.418"
CIH-0021-14,CERRADO,"-74,90588889","6,105472222",IDENTIF_ENTREGADO,ANTIOQUIA,SAN CARLOS,6.105472222,-74.90588889,"6.105472222,-74.90588889"
CIH-0021-15,CERRADO,"-75,7648611","7,17852778",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611,"7.17852778,-75.7648611"
CIH-0021-16,CERRADO,"-75,2341667","5,89944444",,ANTIOQUIA,EL CARMEN DE VIBORAL,5.89944444,-75.2341667,"5.89944444,-75.2341667"
CIH-0021-17,CERRADO,"-75,51188333","7,644616667",IDENTIF_ENTREGADO,ANTIOQUIA,TARAZÁ,7.644616667,-75.51188333,"7.644616667,-75.51188333"
CIH-0022-14,PEND.RESULT.GENETICA,"-74,93569444","6,11361111",NO_IDENTIFICADO,ANTIOQUIA,SAN CARLOS,6.11361111,-74.93569444,"6.11361111,-74.93569444"
CIH-0022-15,CERRADO,"-75,7648611 ","7,17852778",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611 ,"7.17852778,-75.7648611 "
CIH-0022-16,PEND.RESULT.GENETICA,"-75,5735","6,277861111",NO_IDENTIFICADO,ANTIOQUIA,MEDELLÍN,6.277861111,-75.5735,"6.277861111,-75.5735"
CIH-0022-17,CERRADO,"-75,51188333","7,644616667",,ANTIOQUIA,TARAZÁ,7.644616667,-75.51188333,"7.644616667,-75.51188333"
CIH-0023-14,CERRADO,"-74,94836111","6,310722222",NO_IDENTIFICADO,ANTIOQUIA,SAN CARLOS,6.310722222,-74.94836111,"6.310722222,-74.94836111"
CIH-0023-15,CERRADO,"-75,7648611 ","7,17852778",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611 ,"7.17852778,-75.7648611 "
CIH-0023-16,PEND.RESULT.GENETICA,"-75,5563361","6,14153611",NO_IDENTIFICADO,ANTIOQUIA,ENVIGADO,6.14153611,-75.5563361,"6.14153611,-75.5563361"
CIH-0023-17,PEND.RESULT.GENETICA,"-75,418","7,9711",NO_IDENTIF_EN_PROCES,CÓRDOBA,MONTELÍBANO,7.9711,-75.418,"7.9711,-75.418"
CIH-0024-14,CERRADO,"-75,79555556","7,025277778",,ANTIOQUIA,SABANALARGA,7.025277778,-75.79555556,"7.025277778,-75.79555556"
CIH-0024-15,CERRADO,"-75,7648611 ","7,17852778",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611 ,"7.17852778,-75.7648611 "
CIH-0024-16,PEND.RESULT.GENETICA,"-75,0755833","6,07141667",NO_IDENTIFICADO,ANTIOQUIA,GRANADA,6.07141667,-75.0755833,"6.07141667,-75.0755833"
CIH-0024-17,CERRADO,"-75,7506944","7,17413889",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17413889,-75.7506944,"7.17413889,-75.7506944"
CIH-0025-14,CERRADO,"-76,67805556","8,305888889",NO_IDENTIFICADO,ANTIOQUIA,NECOCLÍ,8.305888889,-76.67805556,"8.305888889,-76.67805556"
